,replica,i,j,beta_ij,E[beta_ij],A[beta_ij]
6271,111,7,6,0.14541830043381157,-0.03777961627454862,0.6373651292302673
4915,87,6,1,0.14541830043381157,-0.023281229466440123,0.353196977800673
6264,111,6,7,0.13428158014481387,-0.00615738571338198,0.4551528902019337
1723,30,6,1,0.13428158014481387,-0.005429124222168624,0.4423427941287734
2059,36,6,1,0.15583003502548914,0.024111418148472064,0.37001695876011653
5027,89,6,1,0.15829013347502013,0.026719750370355067,0.45194346399344815
68,1,1,6,0.18464345001254182,0.039164854740989186,0.33173871441238584
5587,99,6,1,0.22125564126218497,0.04540160720114189,0.3245065755493081
4803,85,6,1,0.18992645466313712,0.05003136585791751,0.43657511777745334
6266,111,7,1,0.1803955073787035,0.05231449742417568,0.5413904853213225
3795,67,6,1,0.17625301051846362,0.054673724728099116,0.403599962227283
4355,77,6,1,0.1699931512431048,0.05651883587748713,0.42025214654137016
1331,23,6,1,0.16919940784761545,0.0605016912723938,0.36983526915371157
1724,30,6,2,0.16919940784761545,0.061147065906568654,0.40309851708645955
4916,87,6,2,0.16919940784761545,0.061263881974378265,0.353196977800673
1332,23,6,2,0.1665588442470358,0.06324936413266652,0.36983526915371157
5476,97,6,2,0.1567409569053103,0.07432271234585858,0.4573449808796551
547,9,6,1,0.16783631715733996,0.0760722819675731,0.4047807169506757
4859,86,6,1,0.16589988478376713,0.07668343628695218,0.37195240578595073
6267,111,7,2,0.153905181453317,0.08035900282593664,0.6373651292302673
6259,111,6,1,0.153905181453317,0.08071459181360374,0.41242291554619637
5475,97,6,1,0.153905181453317,0.08074499345646702,0.48447516137953445
4804,85,6,2,0.153905181453317,0.08178308854156846,0.3760732029170671
99,1,6,1,0.153905181453317,0.08234117677820674,0.3298273461416227
3515,62,6,1,0.15495654939794923,0.0840253135724065,0.3781405469278063
5032,89,6,7,0.15495654939794923,0.08412322835981784,0.4194875605634635
6147,109,6,1,0.15495654939794923,0.08451807119600302,0.35884472596511263
3683,65,6,1,0.15123403155634615,0.08575614589468555,0.2819233026438689
2507,44,6,1,0.15123403155634615,0.08606467349586722,0.32677742051412806
3627,64,6,1,0.14367507937754467,0.08689684892915989,0.31101906881140495
6987,124,6,1,0.14999442480886627,0.08978345938756532,0.36450635674224396
3459,61,6,1,0.14389579152222898,0.09094487043621358,0.2410970003141264
4356,77,6,2,0.15727616830916716,0.09427063327705854,0.42025214654137016
6035,107,6,1,0.16960371586048048,0.09592602169747039,0.3394111061887978
5588,99,6,2,0.18122253491360646,0.10198688843443365,0.30094400020676837
2451,43,6,1,0.17912416228302497,0.10257665392011367,0.37457801162314797
6260,111,6,2,0.17590787126896038,0.10371605196218009,0.41242291554619637
5028,89,6,2,0.17705913587095976,0.10615640856982944,0.47741595381130464
2060,36,6,2,0.18497667785783425,0.10754400869181563,0.3764178107037148
6707,119,6,1,0.18497667785783425,0.10757152809792642,0.2867628379812859
1336,23,6,7,0.18497667785783425,0.1081995240821268,0.4076793946433499
323,5,6,1,0.19519892347250584,0.11263154221546184,0.38674830649683317
